source_url,source_title,collection,source_kind,authors,years,entry_count
https://doi.org/10.4230/DagRep.13.5.165,Computational Geometry,Dagstuhl Reports,original_collection,Anna Lubiw,2023,5
https://doi.org/10.4230/DagRep.13.7.96,Parameterized Approximation: Algorithms and Hardness,Dagstuhl Reports,original_collection,Pasin Manurangsi,2023,4
https://doi.org/10.4230/DagRep.13.8.1,Recent Trends in Graph Decomposition,Dagstuhl Reports,original_collection,,2023,1
https://doi.org/10.4230/DagRep.13.8.106,Algorithms and Complexity for Continuous Problems,Dagstuhl Reports,original_collection,Stefan Steinerberger,2023,4
https://doi.org/10.4230/DagRep.14.1.49,"Representation, Provenance, and Explanations in Database Theory and Logic",Dagstuhl Reports,original_collection,Mikaël Monet,2024,2
https://doi.org/10.4230/DagRep.14.10.1,"New Tools in Parameterized Complexity: Paths, Cuts, and Decomposition",Dagstuhl Reports,original_collection,Robert Ganian,2024,1
https://doi.org/10.4230/DagRep.14.11.92,Graph Algorithms: Distributed Meets Dynamic,Dagstuhl Reports,original_collection,Martín Costa,2024,3
https://doi.org/10.4230/DagRep.14.2.120,Triangulations in Geometry and Topology,Dagstuhl Reports,original_collection,Saul Schleimer,2024,11
https://doi.org/10.4230/DagRep.14.2.206,Applied and Combinatorial Topology,Dagstuhl Reports,original_collection,Bastian Rieck,2024,7
https://doi.org/10.4230/DagRep.14.3.31,Logics for Dependence and Independence: Expressivity and Complexity,Dagstuhl Reports,original_collection,Martin Zimmermann,2024,1
https://doi.org/10.4230/DagRep.14.9.145,"Fair Division: Algorithms, Solution Concepts, and Applications",Dagstuhl Reports,original_collection,Ayumi Igarashi,2024,6
https://doi.org/10.4230/DagRep.15.1.105,Solving Problems on Graphs: From Structure to Algorithms,Dagstuhl Reports,original_collection,Konrad Dabrowski,2025,5
https://doi.org/10.4230/DagRep.15.11.114,Online Algorithms beyond Competitive Analysis,Dagstuhl Reports,original_collection,David Wajc,2025,2
https://doi.org/10.4230/DagRep.15.2.158,Estimation-of-Distribution Algorithms: Theory and Applications,Dagstuhl Reports,original_collection,Duc-Cuong Dang,2025,1
https://doi.org/10.4230/DagRep.15.2.89,"Semirings in Databases, Automata, and Logic",Dagstuhl Reports,original_collection,Paris Koutris,2025,4
