Learning theory
TCS-0023 [index;landmark;uncertain] Learning growing-size DNFs under uniform inputs
TCS-2654 [index;source_question_passage;uncertain] Universally Consistent Online Learning with Arbitrarily Dependent Responses | Does there exist an online learning rule that is strongly universally consistent for the family {(X, Y) : X ∈ SUOL}?
TCS-2655 [index;source_question_passage;uncertain] Universal Online Learning with Bounded Loss: Reduction to Binary Classification | Is the set SUOL invariant to the specification of (Y, ℓ), subject to (Y, ℓ) being separable with 0 < ℓ̄ < ∞?
TCS-2665 [index;source_question_passage;uncertain] Testing Distributions of Huge Objects | (a key challenge, relaxed formulation):5 For which label-invariant properties of distributions does it hold that testing them in the DoHO model has query complexity poly(1/ϵ) […]
TCS-2675 [index;source_question_passage;uncertain] Open Problem: Optimal Best Arm Identification with Fixed-Budget | This open problem is whether there is an algorithm other than uniform sampling itself that performs uniformly no worse than uniform sampling in the fixed-budget […]
TCS-2740 [index;source_question_passage;uncertain] Double Coverage with Machine-Learned Advice | The existence of an adaptive prediction policy which can be efficiently learned remains an open question.
TCS-2770 [index;source_question_passage;uncertain] Distinguishing Relational Pattern Languages With a Small Number of Short Strings | We conjecture that z = 2 suffices when the underlying alphabet Σ has at least 5 symbols.
TCS-2772 [index;source_question_passage;uncertain] Scale-free Unconstrained Online Learning for Curved Losses | While we have endeavored to complete the story, some points remain open.
TCS-2773 [index;source_question_passage;uncertain] Learning to Control Linear Systems can be Hard | It is an open question whether we can construct hard learning instances for µ ≥ 1.
TCS-2793 [index;source_question_passage;uncertain] Chess Is Hard Even for a Single Player | While we leave the case of knights open, we do show that a natural generalization of Generalized Solo Chess restricted to knights, Graph Capture, is […]
TCS-2819 [index;source_question_passage;uncertain] Efficient Exact Learning Algorithms for Road Networks and Other Graphs with Bounded Clustering Degrees | Unfortunately, we leave open the problem of theoretically bounding dmax , although we conjecture that dmax is small for road networks and other similar types […]
