TCS-0008	Linear Programming: Strongly Polynomial?	The Open Problems Project
TCS-4304	Furthermore, if oj ∈ TB∗ then φ(oj ) = î (by the structure of block T ) which remains open.	Tight Analysis of a Multiple-Swap Heurstic for Budgeted Red-Blue Median
TCS-4327	Is the upper bound of Theorem 4 optimal in the communication model considered here?	Delay and Cooperation in Nonstochastic Bandits
TCS-4329	We barely scratched the surface, and we leave many interesting directions open.	How to calculate partition functions using convex programming hierarchies: provable bounds for variational methods
TCS-4354	Finally, (c) in the strongly-convex case, the dependence on sample size is optimal in the optimization setting (Polyak and Tsybakov, 1990), however, the optimality of […]	Highly-Smooth Zero-th Order Online Optimization
TCS-4367	Therefore we leave it as an open question to improve our bounds for the rank.	Tight Sum-Of-Squares Lower Bounds for Binary Polynomial Optimization Problems
TCS-4377	Are there AUSO that are not (2 , O( n/ log n))-layered?	The Niceness of Unique Sink Orientations
TCS-4448	While this does not have a very negative impact on the regret bound, it is an open question how to apply the spectral method to […]	Reinforcement Learning of POMDPs using Spectral Methods
TCS-4449	As such, this construction does not imply that a log(K) adaptation price is unavoidable in all cases, and the question remains open on whether there […]	Tight (Lower) Bounds for the Fixed Budget Best Arm Identification Bandit Problem
TCS-4487	Thus, it remains an open problem if O(n/c) bits of advice suffice to achieve a competitive ratio of c for the weighted version of minASG.	Advice Complexity for a Class of Online Problems
TCS-4498	At an equivalent level, dealing with the GK algorithm is already unpleasant—the space complexity analysis in [3] is quite involved, and in fact a simpler […]	A Randomized Online Quantile Summary in O(1/epsilon * log(1/epsilon)) Words
TCS-4521	It is an open question how such adaptive techniques can be incorporated elegantly into our methods.	Second-order Quantile Methods for Experts and Combinatorial Games
TCS-4556	We conjecture that with such noisy feedback, Θ(d T ) is the attainable regret for any	On the Complexity of Bandit Linear Optimization
TCS-4565	For the time being, we do not know how to “fill in” this gap – which of these estimates of the price for adaptation is […]	Adaptive Recovery of Signals by Convex Optimization
TCS-4590	Can the analysis be refined to avoid the notion of phases?	Discrepancy Without Partial Colorings
TCS-4600	We do not know whether natural combinations of such algorithms can attain good performance guarantees,	Generalized Reordering Buffer Management
