TCS-6446	Quantum PCP: a constant promise gap for local Hamiltonians	The Quantum PCP Conjecture
TCS-2507	Whether one of the above two drawbacks can be removed by a different rewrite system remains an open question.	Completeness of Sum-Over-Paths for Toffoli-Hadamard and the Dyadic Fragments of Quantum Computation
TCS-2545	Can we reduce the number of iterations by quantizing SmoothBoost differently, or by quantizing some other boosting approach?	Improved Quantum Boosting
TCS-2548	Second, can we show the log(1/ε)-dependence on the error probability also in the advice-guided case, like we did for basic phase estimation (Theorem 3)?	Tight Bounds for Quantum Phase Estimation and Related Problems
TCS-2559	Can we achieve the additive complexity, i.e., O(t+polylog(1/ϵ))?	Simulating Markovian Open Quantum Systems Using Higher-Order Series Expansion
TCS-2638	Can our polynomial approximation techniques also be used to prove explicit concentration bounds over the choice of random instance?	Concentration Bounds for Quantum States and Limitations on the QAOA from Polynomial Approximations
TCS-2642	Since we are working backwards from the end of the branching program and we do not know how many segments are included in each block, […]	Cumulative Memory Lower Bounds for Randomized and Quantum Computation
TCS-2650	Assuming QETH or QSETH, is MQCSP, UMCSP, or SMCSP quantumly hard?	Quantum Meets the Minimum Circuit Size Problem
TCS-2671	For every n-qubit unitary transformation U , does there exists an oracle A : {0, 1}∗ → {0, 1} such that a BQPA machine can […]	Quantum Search-To-Decision Reductions and the State Synthesis Problem
TCS-2678	Consider a quantum algorithm Q that makes T queries to x ∈ {0, 1}N .	The Acrobatics of BQP
TCS-2768	We conjecture that, as in the qubit case [13], any qutrit unitary with entries in T[ζ] can be exactly synthesised over Clifford+T .	Qutrit Metaplectic Gates Are a Subset of Clifford+T
TCS-2769	Finding a general understanding of which circuits behave best is an open question.	Averaged Circuit Eigenvalue Sampling
TCS-2799	There exists a poly(n, 1ε ) time algorithm A that outputs a (1 - ε)-approximate cut of a random d-regular graph G with high probability […]	Limitations of Local Quantum Algorithms on Random MAX-k-XOR and Beyond
TCS-2810	High Dimensional Position Verification We conjecture that the following construction, inspired by the position verification protocol of Unruh [25], could be secure in higher dimensions […]	Beating Classical Impossibility of Position Verification
TCS-2913	Can we prove tight bounds on quantum speed-ups?	Limits of Quantum Speed-Ups for Computational Geometry and Other Problems: Fine-Grained Complexity via Quantum Walks
TCS-2938	Can we find a more efficient iterative formula for the QAOA’s performance than the one in Section 3.2?	The Quantum Approximate Optimization Algorithm at High Depth for MaxCut on Large-Girth Regular Graphs and the Sherrington-Kirkpatrick Model
TCS-2950	We view the existence of a dual-mode CVQC in the QROM as evidence that our construction template is sound, and we leave constructing quantum null-iO […]	Indistinguishability Obfuscation of Null Quantum Circuits and Applications
TCS-2957	Furthermore, such an approach does not work for the task of finding an ε2 -minimizer of f , as we do not know how to […]	Improved Quantum Lower and Upper Bounds for Matrix Scaling
TCS-3028	Although it is efficient in practice, its complexity is still an open problem, as is left in existing literature [9, 26].	Model Checking Quantum Continuous-Time Markov Chains
TCS-3033	Is it the same as iterating the A[⊥] construction to a fixpoint?	The Logic of Contextuality
TCS-3057	We emphasize that we do not bound the degree of Q(d) because we do not know how to represent it as a polynomial in d.	Quantum Query Complexity with Matrix-Vector Products
TCS-3083	It remains an open problem to derive a matching lower bound for the randomized communication complexity of ABC. ?	The Power of One Clean Qubit in Communication Complexity
TCS-3130	We conjecture that there exists a constant c > 0 such that when D is √ the distribution over 2D random circuits of depth d […]	Spoofing Linear Cross-Entropy Benchmarking in Shallow Quantum Circuits
TCS-3131	While Dotterrer established tight bounds for the size of (co)fillings in the Hamming cube, we do not know whether the bounds of Lemma 3 are […]	Towards Local Testability for Quantum Coding
TCS-3135	We expect most natural properties to be compression oblivious, but leave as an open question what complexity-theoretic assumptions are needed to show that, e.g., the […]	A Framework of Quantum Strong Exponential-Time Hypotheses
TCS-3140	Any quantum algorithm for finding K disjoint collisions in a random function f : [M ] → [N ] with success probability 2/3 must satisfy […]	Quantum Time-Space Tradeoff for Finding Multiple Collision Pairs
TCS-3217	Can the lower bound of Theorem 1 be extended to the bounded-error setting or to the shared entanglement case?	Communication Complexity of Private Simultaneous Quantum Messages Protocols
TCS-3218	Would it be possible to establish the post-quantum security of memory hard functions through a similar reduction in the parallel quantum random oracle model?	On the Security of Proofs of Sequential Work in a Post-Quantum World
TCS-3229	Is there a more interesting class of functions on which we can achieve a quantum speedup?	No Quantum Speedup over Gradient Descent for Non-Smooth Convex Optimization
TCS-3257	Can we show that Q Clawn→n2/3 = Ω n2/3 ?	A Note About Claw Function with a Small Range
TCS-3275	Error reduction of StoqMA remains open since this class was defined in 2006 [9] because this class does not permit amplification of gap between thresholds […]	StoqMA Meets Distribution Testing
TCS-3276	A Ω 1ε lower bound for the ε > √1n regime follows from the lower bound on amplitude estimation, but it is an open question […]	Quantum Probability Oracles & Multidimensional Amplitude Estimation
TCS-3298	(Informal) Our rounding algorithm achieves approximation ratio:  0.498 if k = 1   α(k) = 0.653 if k = 2   0.821 […]	Beating Random Assignment for Approximating Quantum 2-Local Hamiltonian Problems
TCS-3412	We suspect that the same lower bound holds whenever m ≥ c · n 1 for any constant c > 1− , and we leave […]	A Tight Lower Bound For Non-Coherent Index Erasure
TCS-3449	We conjecture this to be the case, but finding a formal proof has been elusive.	Towards Quantum One-Time Memories from Stateless Hardware
TCS-3460	On the lower bound side, what generalizations of Theorem 4 can we prove that incorporate ε?	Quantum Lower Bounds for Approximate Counting via Laurent Polynomials
TCS-3483	Can WZ∗Z2 be recognized by a 2QCFA with bounded error?	The Power of a Single Qubit: Two-Way Quantum Finite Automata and the Word Problem
TCS-3517	Can we give faster sampling-based algorithms for solving LPs?	Quantum-Inspired Sublinear Algorithm for Solving Low-Rank Semidefinite Programming
TCS-3573	Can we prove the conjecture that the purified and discrete query input models are equivalent for classical distributions, with respect to the query complexity of […]	Distributional Property Testing in a Quantum World
TCS-3608	In particular we do not know if the theorem still applies if F is merely an equivalence of categories.	Completeness of Graphical Languages for Mixed States Quantum Mechanics (Track B: Automata, Logic, Semantics, and Theory of Programming)
