TCS-3086	We do not know whether k-equivalence is decidable for a given k ≥ 0.	Decision Problems for Origin-Close Top-Down Tree Transducers
TCS-3132	We note that determinism of M is essential in the presented proof; we leave open if it can be relaxed to show that L# is […]	The Simplest Non-Regular Deterministic Context-Free Language
TCS-3155	For example, we leave open whether our main decidability result holds for two diagonal relations.	Local First-Order Logic with Two Data Values
TCS-3159	We leave as an open question whether this result can be generalised to the case of multiple clocks.	Dynamic Data Structures for Timed Automata Acceptance
TCS-3179	For example Pos: can one characterize (finitary) varieties of ordered algebras in a similar way?	Which Categories Are Varieties? ((Co)algebraic pearls)
TCS-3307	We leave open the following question: given a one-way multiple-use automaton, can one decide if there is an equivalent automaton that is single-use (by Theorem […]	Single-Use Automata and Transducers for Infinite Alphabets
TCS-3323	We leave open the question of whether the lower bound of Proposition 17 still holds for unambiguous VASS without epsilon transitions.	Universality Problem for Unambiguous VASS
TCS-3324	The decidability of Th(Rexp ) is an open problem and hinges upon Schanuel’s conjecture [24].	The Big-O Problem for Labelled Markov Chains and Weighted Automata
TCS-3359	We conjecture that Recursed without Cauldrons or Jars can be simulated by a Push-Down Automata, and is therefore decidable.	Recursed Is Not Recursive: A Jarring Result
TCS-3371	However, we leave it as an open question if the synchronization complexity of DPBCAs is non-elementary.	Synchronizing Deterministic Push-Down Automata Can Be Really Hard
TCS-3376	In the case of a 4-letter alphabet, we do not know if arbitrarily long words avoiding abelian 2-powers cyclically exist.	All Growth Rates of Abelian Exponents Are Attained by Infinite Binary Words
TCS-3402	Further, it remains open whether for the other orders a drop in the complexity can be observed, when R is strict and total, as it […]	Synchronization Under Dynamic Constraints
TCS-3414	Indeed, constructing an explicit class of groups with superpolynomial graph embedding complexity is still an open problem, although a conjecture of Babai states that the […]	Compressing Permutation Groups into Grammars and Polytopes. A Graph Embedding Approach
TCS-3438	We also leave open whether downward closures are computable for this more expressive class.	Cost Automata, Safe Schemes, and Downward Closures
TCS-3440	But the latter are an important stepping stone, since we do not know how to prove the above claim without using the Krohn–Rhodes decomposition somewhere.	Implicit Automata in Typed λ-Calculi I: Aperiodicity in a Non-Commutative Logic
TCS-3467	Can the equivalence queries used by the learning algorithm of Theorem 12 be modified to use SUBAs, or at least NBAs, as hypotheses?	Strongly Unambiguous Büchi Automata Are Polynomially Predictable With Membership Queries
TCS-3518	It reformulates as follows: given a function computed by a pebble transducer, can we implement it in streaming way?	Register Transducers Are Marble Transducers
TCS-3528	What if the monoid is not commutative (over words)?	Unambiguous Separators for Tropical Tree Automata
TCS-3530	Can the set of all winning strategies be described by finite-state automata?	Observation and Distinction. Representing Information in Infinite Games
TCS-3551	We conjecture that our doubly exponential upper bound is not optimal and that it is possible to establish an exponential upper bound of |M| in […]	On the Size of Finite Rational Matrix Semigroups
TCS-3553	Whether our techniques can be extended beyond weak automata – hopefully to all tree automata or, equivalently, full MSO logic, or full µ-calculus – remains […]	Computing Measures of Weak-MSO Definable Sets of Trees
TCS-3570	We conjecture that a PSPACE-membership proof similar to the one for the short synchronizing word problem presented in [14] can be obtained if exponential upper […]	Synchronization of Deterministic Visibly Push-Down Automata
TCS-3576	This raises the question: which conditions are necessary on the algebraic structure of observations to be able to prove completeness in a similar manner?	Partially Observable Concurrent Kleene Algebra
TCS-3594	We leave open the question of whether alternating GFG automata of stronger acceptance conditions allow for doubly-exponential succinctness compared to deterministic automata.	Good for Games Automata: From Nondeterminism to Alternation
TCS-3606	We conjecture that 2DPA are exponentially more succinct than PA, witnessed by the language Ln of Section 2.	Two-Way Parikh Automata
TCS-3607	We conjecture that in the affine case, we obtain exactly the subsequential transductions [17], i.e. transductions definable by deterministic 1-way transducers.	Cyclic Proofs and Jumping Automata
TCS-3609	In particular, we conjecture that there exists a class of conjunctive queries ∆ for which #Hom(∆) is #Wfunc [2]-equivalent.	Counting Answers to Existential Questions (Track B: Automata, Logic, Semantics, and Theory of Programming)
TCS-3610	We conjecture that finite-valued SST can be effectively decomposed into finite unions of unambiguous SST.	Equivalence of Finite-Valued Streaming String Transducers Is Decidable (Track B: Automata, Logic, Semantics, and Theory of Programming)
TCS-3611	The question remains open for those automaton semigroups whose enveloping group is a group of fractions, see Problem C below.	Automatic Semigroups vs Automaton Semigroups (Track B: Automata, Logic, Semantics, and Theory of Programming)
TCS-3613	Is it possible to save an agent in the case of synchronous unoriented grids?	Exploration of High-Dimensional Grids by Finite Automata
TCS-3633	We conjecture that in the free group for any nesting depth bounded by a constant the problem is still in uAC0 (WP(F2 )).	The Power Word Problem
TCS-3641	Some of the problems were shown decidable, notably in the single-valued and in the finite-valued case, but a few important problems remain open.	The Many Facets of String Transducers (Invited Talk)
TCS-3642	We also leave open the characterization for closure under complement and intersection for k-ary relations.	Closure Properties of Synchronized Relations
TCS-3645	In particular, we conjecture that Lemma 9 does not hold for safety-TAGC.	Tree Automata with Global Constraints for Infinite Trees
TCS-3674	As for future work, we shall study the strong minimal TP problem when just one or two state variables are used, whose decidability remains an […]	Taming the Complexity of Timeline-Based Planning over Dense Temporal Domains
TCS-3675	It is still unknown if the problem of deciding weather a parity tree automaton is not countably ambiguous is in co-NP, although we believe it […]	Degrees of Ambiguity of Büchi Tree Automata
TCS-3676	The exact complexity of the following variant of the problem remains open: given an MDP and a horizon encoded in binary, determine whether there exists […]	On the Complexity of Value Iteration (Track B: Automata, Logic, Semantics, and Theory of Programming)
TCS-3698	However, we do not know whether we can recover our theorem [2, Theorem 35] stating that any presentable 1-signature is effective.	Modular Specification of Monads Through Higher-Order Presentations
TCS-3734	Finally we pose a more speculative question: what other phenomena, apart from information flow, can antichains with respect to the lexicographic order usefully represent?	Widths of Regular and Context-Free Languages
TCS-3772	For instance, given a wMSO sentence, is there an equivalent wFO sentence?	Aperiodic Weighted Automata and Weighted First-Order Logic
TCS-3773	Can the factor |δ|2 (which may be quartic in |Q|) be avoided?	Efficient Analysis of Unambiguous Automata Using Matrix Semigroup Techniques
TCS-3801	Can the long-standing Ω(n log n) lower bound [20] be improved, for example by a combination of the full-automata technique of Yan [23] and the […]	Alternating Weak Automata from Universal Trees
TCS-3840	What is a universal property for the canonical Wasserstein lifting?	Up-To Techniques for Behavioural Metrics via Fibrations
TCS-3842	The question of a logic expressively equivalent to full 1-ATA remains open.	Logics Meet 1-Clock Alternating Timed Automata
TCS-3847	We do not know if Ra is h-periodic so we do not use Query 1.	Two-Dimensional Maximal Repetitions
TCS-3856	We conjecture that the bounded MSO resynchronizers defined here strictly capture the rational resynchronizers introduced in [15].	Origin-Equivalence of Two-Way Word Transducers Is in PSPACE
TCS-3863	Decidability of the containment problem when both automata are allowed to be finitely ambiguous remains open.	When is Containment Decidable for Probabilistic Automata?
TCS-3865	The question about exponential separation in the case of a general alphabet remains open.	A Superpolynomial Lower Bound for the Size of Non-Deterministic Complement of an Unambiguous Automaton
TCS-3882	We state that the first problem remains PSPACE-complete for all k ≥ 2, although the problem remains open for strongly connected automata.	Complexity of Preimage Problems for Deterministic Finite Automata
TCS-3887	It is still an open question to find a more combinatorial argument to the equivalence between the two models.	On Hadamard Series and Rotating Q-Automata
TCS-3924	For example, it is still an open question whether two robots, which are activated in an arbitrary order, are more powerful than a single robot […]	Shape Recognition by a Finite Automaton Robot
TCS-3952	We currently do not know if the width problem is complete for PSPACE or EXPTIME, and we leave this problem open.	Width of Non-deterministic Automata
TCS-4006	Are there deterministic context-free languages where the optimal space bound (for the variable-size or the fixed-size model) is in o(n) ∩ ω((log n)2 )?	Sliding Windows over Context-Free Languages
TCS-4071	Can the more advanced results for DREG be adapted to DRX, i. e., can M(α) be computed more efficiently (as in [8, 34]), or is […]	Deterministic Regular Expressions with Back-References
TCS-4153	We leave open the question of whether there are some practical classes of instances and of queries for which such a deterministic tree automaton can […]	Combined Tractability of Query Evaluation via Tree Automata and Cycluits
TCS-4168	We do not know whether there exist quasi-polynomial time algorithms for every k > 2, and leave this as an open problem.	Probabilistic Automata of Bounded Ambiguity
TCS-4240	We conjecture that no change to the automaton model is necessary to accommodate this generalization, just like Struth and Laurence suspect that the downward-closed semantics […]	Brzozowski Goes Concurrent - A Kleene Theorem for Pomset Languages
TCS-4241	These automata impose a strong notion of bracketing (opening and closing τ -transitions must match exactly), which we do not know how to handle when […]	On Decidability of Concurrent Kleene Algebra
TCS-4250	We conjecture that our approach can also be extended to the two-way case and that deterministic two-way transducers can be made reversible using only a […]	On Reversible Transducers
TCS-4251	Beyond these two points, we do not know how to show decidability for Gnil (which is the join of the Gp ), and the surprising […]	Continuity and Rational Functions
TCS-4253	The closest work to our knowledge is the work of Lombardy and Sakarovitch [12] which studies the sequentialisability of weighted automata; in the framework of […]	Automata in the Category of Glued Vector Spaces
TCS-4319	Can you avoid abelian squares of the form uv where |u| ≥ 2 over three letters ?	Every Binary Pattern of Length Greater Than 14 Is Abelian-2-Avoidable
TCS-4322	We do not know how to obtain similar expressions for other border lengths.	Periods and Borders of Random Words
TCS-4323	We do not know whether for each unambiguous copyless CRA there is an equivalent deterministic copyless CRA.	Copyless Cost-Register Automata: Structure, Expressiveness, and Closure Properties
TCS-4345	Since the decision procedure uses the existence of a unique minimal DFA for each regular language, the methods cannot be adapted directly, and it is […]	Transformation Between Regular Expressions and omega-Automata
TCS-4368	We leave open the question whether this intermediate logic admits a translation to zero automata.	Thin MSO with a Probabilistic Path Quantifier
TCS-4406	For instance, can one derive the characteristic equations of Bojańczyk et al. [6] for piecewise-testable tree languages from Lemma 12?	Deciding Piecewise Testable Separability for Regular Tree Languages
TCS-4471	It is an open question if the automata are closed on intersection.	Automata Theoretic Account of Proof Search
TCS-4472	We conjecture that MP is not contained in WMSO[⊕x ⊙1x ], such a result would complete the diagram.	Maximal Partition Logic: Towards a Logical Characterization of Copyless Cost Register Automata
TCS-4491	Without the assumption that CA(n) = CA2 (n), it is still unknown whether CA(n) is closed under concatenation.	Comparing 1D and 2D Real Time on Cellular Automata
