TCS-1867	Studying more in-depth the category AsmEF is out of the scope of this paper, but we conjecture that one could follow the development for implicative […]	From Partial to Monadic: Combinatory Algebra with Effects
TCS-1880	As a direction for future work, we conjecture that the problem of deciding whether the language defined by an LTLf formula is a liveness language […]	Safety and Liveness on Finite Words
TCS-1922	An important question for future research is to explore empirical evidence for the usefulness of our new fault domains: how often are faulty implementations of […]	New Fault Domains for Conformance Testing of Finite State Machines
TCS-1927	We conjecture that our framework may be expanded to cover both types of dynamism using dependent functions: G →G G′ = (v ∈ G) → […]	Formalisation and Extension of Lagois Connections for Secure Information Flow
TCS-1989	Thus, the different duplicating policies of CbS/CbV leave different amounts of non-erasable garbage in open normal forms, which is observable and changes the denotational semantics.	Mirroring Call-By-Need, or Values Acting Silly
TCS-1993	It remains an open question whether FO[<,E] is subsumed by simple GHyperLTLS+C .	Unifying Asynchronous Logics for Hyperproperties
TCS-2033	Even if it is correct the complexity of the problem for 1-GVAS remains open.	Challenges of the Reachability Problem in Infinite-State Systems (Invited Paper)
TCS-2040	We are slightly vague here, as for the moment we leave open how algorithmic problems and reductions are represented.	Specification and Automatic Verification of Computational Reductions
TCS-2058	In general, we do not know whether Σ is locally fully faithful or not.	Data Types with Symmetries via Action Containers
TCS-2079	In fact, we conjecture that broadcast communications might allow us to synthesize decentralized monitors for a larger Hyper-recHML fragment, including formulae that mix greatest fixed-points […]	Centralized vs Decentralized Monitors for Hyperproperties
TCS-2082	On the other hand, it remains an open problem to determine what would happen for a larger realizability algebra (equipotent with the large cardinal considered […]	Realizability Models for Large Cardinals
TCS-2083	We conjecture that a similar condition, namely the quasi-concavity of utility functions, plays a vital role in the non-emptiness of the core in concurrent multi-player […]	Characterising and Verifying the Core in Concurrent Multi-Player Mean-Payoff Games
TCS-2121	Hence, finding appropriate notions of CI in this more general setting remains an open question.	A Categorical Approach to DIBI Models
TCS-2127	We do not know how to encode this constraint when working with an instance of well-specification.	Verification of Population Protocols with Unordered Data
TCS-2160	Can we find a characterisation for type theories with more universes?	Conservativity of Type Theory over Higher-Order Arithmetic
TCS-2174	Are polynomial orders or KBOs without unary function symbol of weight zero sufficient, or are more powerful approaches for showing termination needed?	On the Complexity of the Small Term Reachability Problem for Terminating Term Rewriting Systems
TCS-2259	It would be interesting to understand the exact relationship between our parallel and single substitution calculi: we conjecture that for any SOGAT, they yield equivalent […]	Second-Order Generalised Algebraic Theories: Signatures and First-Order Semantics
TCS-2260	One the one hand, we do not know whether a generalisation of the monad elimination rule to any parameter p, which would be finer than […]	A Linear Type System for L^p-Metric Sensitivity Analysis
TCS-2279	Nester et al. [48, 7] have recently introduced an alternative description of lenses in terms of proarrow equipments, which have a good 2-dimensional syntax [47] […]	The Produoidal Algebra of Process Decomposition
TCS-2281	We restate the open question of [59]: Given a local FO formula φ(x), i.e., a formula where φ(x) depends on a fixed-radius neighborhood of vertex […]	Distributed Model Checking on Graphs of Bounded Treedepth
TCS-2293	Does there exist an upper bound N such that if a non-trivial linear loop satisfying P = 0 exists, then there exists a non-trivial linear […]	Linear Loop Synthesis for Quadratic Invariants
TCS-2309	In this paper, we have given an answer, in the discrete case working over Zd , to the question: what is a commutation relation in […]	Commutation Groups and State-Independent Contextuality
TCS-2320	Are all strongly finitary endofunctors on Met closed under composition?	Strongly Finitary Monads for Varieties of Quantitative Algebras
TCS-2321	Does every Vietoris polynomial functor on Top have a terminal coalgebra?	On Kripke, Vietoris and Hausdorff Polynomial Functors ((Co)algebraic pearls)
TCS-2357	Can we completely characterize all graphs for which a Gioan-type theorem holds for drawings with the same ERS?	Drawings of Complete Multipartite Graphs up to Triangle Flips
TCS-2368	For now it is an open question whether the localised independence property for a Kleisli category is reflected by an equivalent condition on the monad.	Weakly Markov Categories and Weakly Affine Monads
TCS-2369	Develop and study the theory of coalgebraic logic with a primal algebra D of truth-degrees using other approaches to coalgebraic logic.	Many-Valued Coalgebraic Logic: From Boolean Algebras to Primal Varieties
TCS-2370	Furthermore, it is an open question, whether extensive refinements of the local systems and their interaction specifications can still be handled with interaction laws.	Structural Operational Semantics for Heterogeneously Typed Coalgebras
TCS-2372	If some polynomial is an upper estimate of F for β, then there exists a tight estimate f of F for β.	Asymptotic Complexity Estimates for Probabilistic Programs and Their VASS Abstractions
TCS-2375	Therefore it remains open whether the language k-HDness problem is decidable, which ask whether there is an equivalent k-HDVASS for the given language.	History-Deterministic Vector Addition Systems
TCS-2395	It is an open question if a stronger version with general f, g : E1 Ñ E2 can be proven.	Representing Guardedness in Call-By-Value
TCS-2429	Whether such algorithms exist or whether the current lower bounds can be strengthen remains an open problem.	Speed Me up If You Can: Conditional Lower Bounds on Opacity Verification
TCS-2436	19) – for example, is the k-atomic-predicate-occurrence fragment of the m-variable fragment of first-order logic with equality decidable?	On the Finite Variable-Occurrence Fragment of the Calculus of Relations with Bounded Dot-Dagger Alternation
TCS-2443	Are there any gadgets for which finding a winning strategy is provably easier?	Complexity of Motion Planning of Arbitrarily Many Robots: Gadgets, Petri Nets, and Counter Machines
TCS-2478	For example, we do not know how to define lambda by recursion on the syntax of the following theories, even though they are all equivalent […]	Combinatory Logic and Lambda Calculus Are Equal, Algebraically
TCS-2479	We conjecture that a similar construction should be possible also when considering a Quantitative Equational Theory [45, 46, 4, 1] over Ω, extending the construction […]	Quotients and Extensionality in Relational Doctrines
TCS-2498	We leave open two natural questions: (i) What is the complexity of regular separability for Büchi d-VASS, for each d ≥ 2? (ii) What is […]	Regular Separability in Büchi VASS
TCS-2509	This is not possible here, since we do not know how to compute D1 ◦ D2 (f.g).	Unifying Graded Linear Logic and Differential Operators
TCS-2512	While there is an explicit construction of the downclosure of these languages [53, 30, 20], a precise complexity bound for the construction remains open.	Context-Bounded Analysis of Concurrent Programs (Invited Talk)
TCS-2536	What if we had two different monoidal structures on A?	Coinductive Control of Inductive Data Types
TCS-2581	Can we define a class of wpos where friendly order type always coincides with mot?	Ordinal Measures of the Set of Finite Multisets
TCS-2582	Can the lower bound of Ω(n2 ) for KT1 be improved by using non-comparison based algorithms?	Tight Bounds on the Message Complexity of Distributed Tree Verification
TCS-2600	We conjecture that the extensions of bisimilarities we defined here are the same as the definitions given by [10], and that they are characterised by […]	Modal Logics for Mobile Processes Revisited
TCS-2604	We leave it as an open problem to either improve upon the upper bound O(nd+1 ) given by the trivial algorithm, or to raise our […]	Coverability in VASS Revisited: Improving Rackoff’s Bound to Obtain Conditional Optimality
TCS-2605	8 Related work Our work builds on GKAT, a strictly deterministic fragment [39] of Kleene Algebra with Tests (KAT). KAT has been used in several […]	Probabilistic Guarded KAT Modulo Bisimilarity: Completeness and Complexity
TCS-2641	Can the height of the tower in our case can be made pw + O(1), or is FO model checking on bounded pathwidth truly harder […]	First Order Logic on Pathwidth Revisited Again
TCS-2682	We have shown PSPACE-completeness for b = 1, and we conjecture that the problem is already EXPSPACE-complete for all b ≥ 2.	Regular Model Checking Upside-Down: An Invariant-Based Approach
