TCS-0023	Learning growing-size DNFs under uniform inputs	Mathematics and Computation (2018 draft)
TCS-2149	Due to its open-ended nature, this work is subject to a number of limitations and leaves directions open for future investigation.	Harmonics of Learning: Universal Fourier Features Emerge in Invariant Networks
TCS-2150	To the best of our knowledge, it is an open problem to develop a version of this algorithm which would be oblivious to tmix .	Improved High-Probability Bounds for the Temporal Difference Learning Algorithm via Exponential Stability
TCS-2151	We conjecture that this is likely due to an artifact of our proof.	Multiple-output composite quantile regression through an optimal transport lens
TCS-2227	If F ⊆ [d] s contains no k sets that can be perfectly (s − t)-matched,	A Combinatorial Approach to Robust PCA
TCS-2230	Can we adapt their techniques to neural network training?	Training Multi-Layer Over-Parametrized Neural Network in Subquadratic Time
TCS-2255	Determining the optimal rate of estimating β-Hölder scores with β > 1 remains an open question. 2	Optimal score estimation via empirical Bayes smoothing
TCS-2269	Exact non-asymptotic bounds would be of particular interest, but to the best of our knowledge even characterizing the asymptotic behavior of the maximum deviation for […]	Tight Bounds for Local Glivenko-Cantelli
TCS-2271	Recall that in Section 4.1 and Section 4.2, the (H, R)- consistency bounds guarantees (applicable to all distributions without any assumptions) indicate that both our […]	Predictor-Rejector Multi-Class Abstention: Theoretical Analysis and Algorithms
TCS-2272	Our algorithm O RCA∗ only exploits similarities among items – we leave it as an open problem to adapt our methodology in order to exploit […]	Adversarial Online Collaborative Filtering
TCS-2274	It is instructive to note that our rates match the optimal rates for binary hypothesis testing when m = 2, implying that the sample complexity […]	Universally Instance-Optimal Mechanisms for Private Statistical Estimation
TCS-2275	However, the technique in the proof of Theorem 3 does not seem sufficient to establish this, and we leave open the question of whether VC(D(C)) […]	The Star Number and Eluder Dimension: Elementary Observations About the Dimensions of Disagreement
TCS-2296	For example, can the sharp rate in Theorem 4 be extended to stronger metrics such as Rényi divergences, as well as to situations when the […]	Sampling from the Mean-Field Stationary Distribution
TCS-2310	In particular, are our algorithms for computing a halfplane minimizing kR optimal, and in case of wedges (where the problem is asymmetric) is minimizing the […]	Robust Bichromatic Classification Using Two Lines
TCS-2337	Is there a computationally efficient algorithm for learning any low rank distribution given access to a conditional sampling oracle?	Learning Hidden Markov Models Using Conditional Samples
TCS-2389	It remains an open problem whether the idea works in practice, especially when the distribution of keys inside the bucket is skewed.	Learned Monotone Minimal Perfect Hashing
TCS-2422	It remains open whether learning sparse parities by small programs is NP-hard.	Regularization of Low Error PCPs and an Application to MCSP
