TCS-0022	One-way functions from NP hardness	Mathematics and Computation (2018 draft)
TCS-5040	Secret Sharing, Slice Formulas, and Monotone Real Circuits — Explicit open question on PDF page 6	Secret Sharing, Slice Formulas, and Monotone Real Circuits
TCS-5041	Protecting Distributed Primitives Against Leakage: Equivocal Secret Sharing and More — Explicit open question on PDF page 3	Protecting Distributed Primitives Against Leakage: Equivocal Secret Sharing and More
TCS-5042	Generalized Snarks, Disjoint Perfect Matchings, and Graph Covers — Unresolved-question passage on page 14	Generalized Snarks, Disjoint Perfect Matchings, and Graph Covers
TCS-5073	On White-Box Learning and Public-Key Encryption — Explicit open question on PDF page 10	On White-Box Learning and Public-Key Encryption
TCS-5074	Barrington Plays Cards: The Complexity of Card-Based Protocols — Unresolved-question passage on page 11	Barrington Plays Cards: The Complexity of Card-Based Protocols
TCS-5136	Quantum Distinguishing Complexity, Zero-Error Algorithms, and Statistical Zero Knowledge — Explicit open question on PDF page 4	Quantum Distinguishing Complexity, Zero-Error Algorithms, and Statistical Zero Knowledge
TCS-5137	Randomness Recoverable Secret Sharing Schemes — Unresolved-question passage on page 20	Randomness Recoverable Secret Sharing Schemes
TCS-5138	Secure Distributed Network Optimization Against Eavesdroppers — Explicit open question on PDF page 10	Secure Distributed Network Optimization Against Eavesdroppers
TCS-5139	Phoenix: Secure Computation in an Unstable Network with Dropouts and Comebacks — Explicit open question on PDF page 2	Phoenix: Secure Computation in an Unstable Network with Dropouts and Comebacks
TCS-5166	Probabilistic Secret Sharing — Explicit open question on PDF page 3	Probabilistic Secret Sharing
TCS-5196	Indistinguishability Obfuscation of Null Quantum Circuits and Applications — Unresolved-question passage on page 6	Indistinguishability Obfuscation of Null Quantum Circuits and Applications
TCS-5230	On the Impossibility of Probabilistic Proofs in Relativized Worlds — Explicit open question on PDF page 7	On the Impossibility of Probabilistic Proofs in Relativized Worlds
TCS-5231	Synthesizing Computable Functions from Rational Specifications over Infinite Words — Unresolved-question passage on page 15	Synthesizing Computable Functions from Rational Specifications over Infinite Words
TCS-5232	Beyond Natural Proofs: Hardness Magnification and Locality — Explicit open question on PDF page 2	Beyond Natural Proofs: Hardness Magnification and Locality
TCS-5260	Fourier and Circulant Matrices Are Not Rigid — Explicit open question on PDF page 2	Fourier and Circulant Matrices Are Not Rigid
TCS-5261	On the Round Complexity of Randomized Byzantine Agreement — Explicit open question on PDF page 4	On the Round Complexity of Randomized Byzantine Agreement
TCS-5321	Lossy Chains and Fractional Secret Sharing — Unresolved-question passage on page 12	Lossy Chains and Fractional Secret Sharing
TCS-5529	The Relative Power of Composite Loop Agreement Tasks — Unresolved-question passage on page 15	The Relative Power of Composite Loop Agreement Tasks
TCS-5622	Refuting the Dream XOR Lemma via Ideal Obfuscation and Resettable MPC — Unresolved-question passage on page 7	Refuting the Dream XOR Lemma via Ideal Obfuscation and Resettable MPC
TCS-5623	On One-Way Functions from NP-Complete Problems — Explicit open question on PDF page 2	On One-Way Functions from NP-Complete Problems
TCS-5792	The Journey from NP to TFNP Hardness — Explicit open question on PDF page 4	The Journey from NP to TFNP Hardness
TCS-5793	Conspiracies Between Learning Algorithms, Circuit Lower Bounds, and Pseudorandomness — Explicit open question on PDF page 7	Conspiracies Between Learning Algorithms, Circuit Lower Bounds, and Pseudorandomness
TCS-6038	Clique-width: When Hard Does Not Mean Impossible — Explicit open question on PDF page 5	Clique-width: When Hard Does Not Mean Impossible
TCS-6466	A gentle introduction to lattice-based cryptography — Unresolved-question passage on page 189	A gentle introduction to lattice-based cryptography
TCS-6467	The ABC of Symmetric Primitives over Integer Rings: Milk Before Meat — Unresolved-question passage on page 18	The ABC of Symmetric Primitives over Integer Rings: Milk Before Meat
TCS-6474	Algorithmic Optimization of the Gaussian Sampler in the FN-DSA Post-Quantum Signature Scheme — Unresolved-question passage on page 22	Algorithmic Optimization of the Gaussian Sampler in the FN-DSA Post-Quantum Signature Scheme
TCS-6475	On the Round Complexity of Early Stopping — Unresolved-question passage on page 52	On the Round Complexity of Early Stopping
