source_url,collection,source_title,years,entry_count
https://doi.org/10.4230/DagRep.2.1.19,Dagstuhl Reports,"Computability, Complexity and Randomness",2012,13
https://doi.org/10.4230/DagRep.3.10.36,Dagstuhl Reports,Algorithms for Optimization Problems in Planar Graphs,2013,11
https://doi.org/10.4230/DagRep.3.4.34,Dagstuhl Reports,Drawing Graphs and Maps with Curves,2013,4
https://doi.org/10.4230/DagRep.3.4.69,Dagstuhl Reports,"Interface of Computation, Game Theory, and Economics",2013,1
https://doi.org/10.4230/DagRep.3.8.40,Dagstuhl Reports,Exponential Algorithms: Algorithms and Complexity Beyond Polynomial Time,2013,16
https://doi.org/10.4230/DagRep.4.11.1,Dagstuhl Reports,Optimality and Tight Results in Parameterized Complexity,2014,7
https://doi.org/10.4230/DagRep.4.2.38,Dagstuhl Reports,Graph Modification Problems,2014,8
https://doi.org/10.4230/DagRep.4.8.73,Dagstuhl Reports,Equilibrium Computation,2014,6
https://doi.org/10.4230/DagRep.5.6.28,Dagstuhl Reports,Complexity of Symbolic and Numerical Problems,2015,8
https://doi.org/10.4230/DagRep.5.9.105,Dagstuhl Reports,"Circuits, Logic and Games",2015,4
https://doi.org/10.4230/DagRep.6.2.97,Dagstuhl Reports,Scheduling,2016,11
https://doi.org/10.4230/DagRep.6.3.1,Dagstuhl Reports,Data Structures and Advanced Models of Computation on Big Data,2016,2
https://doi.org/10.4230/DagRep.6.5.94,Dagstuhl Reports,Algorithms for Optimization Problems in Planar Graphs,2016,10
https://doi.org/10.4230/DagRep.6.6.26,Dagstuhl Reports,Graph Polynomials: Towards a Comparative Theory,2016,8
https://doi.org/10.4230/DagRep.6.9.94,Dagstuhl Reports,Foundations of Unsupervised Learning,2016,1
https://doi.org/10.4230/DagRep.7.1.103,Dagstuhl Reports,Randomization in Parameterized Complexity,2017,13
https://doi.org/10.4230/DagRep.7.3.45,Dagstuhl Reports,Computational Complexity of Discrete Problems,2017,2
https://doi.org/10.4230/DagRep.7.4.107,Dagstuhl Reports,Computational Geometry,2017,7
https://doi.org/10.4230/DagRep.8.10.63,Dagstuhl Reports,"Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative",2018,11
https://doi.org/10.4230/DagRep.8.2.64,Dagstuhl Reports,Designing and Implementing Algorithms for Mixed-Integer Nonlinear Optimization,2018,1
https://doi.org/10.4230/DagRep.8.3.1,Dagstuhl Reports,Scheduling,2018,3
https://doi.org/10.4230/DagRep.8.9.1,Dagstuhl Reports,Measuring the Complexity of Computational Content: From Combinatorial Problems to Analysis,2018,10
https://doi.org/10.4230/DagRep.9.1.67,Dagstuhl Reports,New Horizons in Parameterized Complexity,2019,6
https://doi.org/10.4230/DagRep.9.10.134,Dagstuhl Reports,Algorithms and Complexity in Phylogenetics,2019,9
https://doi.org/10.4230/DagRep.9.3.83,Dagstuhl Reports,Algorithmic Problems in Group Theory,2019,7
https://doi.org/10.4230/DagRep.9.4.107,Dagstuhl Reports,Computational Geometry,2019,15
https://doi.org/10.4230/DagRep.9.6.125,Dagstuhl Reports,Graph Colouring: from Structure to Algorithms,2019,6
https://jukkasuomela.fi/open/,Jukka Suomela: locality problems,,2026,16
https://notes.0xparc.org/problems/algebraic-digit-extraction/,0xPARC research workshops,,2025,1
https://notes.0xparc.org/problems/amplifier-polynomials-fhe/,0xPARC research workshops,,2025,1
https://notes.0xparc.org/problems/compute-bezout/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/hash/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/matrix-challenge/,0xPARC research workshops,,2025,1
https://notes.0xparc.org/problems/multiplication-decomposition/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/nonnative-arithmetic/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/oram/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/outsourcing-zkproofs/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/parallelizing-blind-rotation/,0xPARC research workshops,,2025,1
https://notes.0xparc.org/problems/pir-short/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/range-check-2/,0xPARC research workshops,,2024,1
https://notes.0xparc.org/problems/sharding-protocol-efficiency/,0xPARC research workshops,,2025,1
https://notes.0xparc.org/problems/sparse-matrix-lpn/,0xPARC research workshops,,2025,1
https://notes.0xparc.org/problems/weighted-threshold-signatures/,0xPARC research workshops,,2024,1
https://pacs2024.github.io/pacs2024-open-problems.pdf,PACS 2024 workshop,,2024,8
https://proceedings.mlr.press/v125/foster20a.html,COLT / PMLR,,2020,1
https://proceedings.mlr.press/v125/steinke20b.html,COLT / PMLR,,2020,1
https://proceedings.mlr.press/v178/open-problem-bassily22a.html,COLT / PMLR,,2022,1
https://proceedings.mlr.press/v178/open-problem-blanc22a.html,COLT / PMLR,,2022,1
https://proceedings.mlr.press/v178/open-problem-fountoulakis22a.html,COLT / PMLR,,2022,1
https://proceedings.mlr.press/v178/open-problem-marinov22a.html,COLT / PMLR,,2022,1
https://proceedings.mlr.press/v178/open-problem-sanyal22a.html,COLT / PMLR,,2022,1
https://proceedings.mlr.press/v178/open-problem-vakili22a.html,COLT / PMLR,,2022,1
https://proceedings.mlr.press/v195/chae23a.html,COLT / PMLR,,2023,1
https://proceedings.mlr.press/v195/cohen23b.html,COLT / PMLR,,2023,1
https://proceedings.mlr.press/v195/criscitiello23b.html,COLT / PMLR,,2023,1
https://proceedings.mlr.press/v195/warmuth23a.html,COLT / PMLR,,2023,1
https://proceedings.mlr.press/v23/ramon12.html,COLT / PMLR,,2012,1
https://proceedings.mlr.press/v23/rudin12.html,COLT / PMLR,,2012,1
https://proceedings.mlr.press/v247/asilis24b.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/azize24a.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/canonne24a.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/chen24e.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/hanneke24c.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/hu24a.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/kornowski24a.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/vakili24a.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v247/wang24c.html,COLT / PMLR,,2024,1
https://proceedings.mlr.press/v291/froese25b.html,COLT / PMLR,,2025,1
